'Elapsed time','ECG 1','ECG 2','ECG 3','ECG 4'
'hh:mm:ss.mmm','mV','mV','mV','mV'
'0:01.460',-0.020,0.060,0.080,0.130
'0:01.462',0.000,0.060,0.080,0.130
'0:01.464',0.000,0.060,0.090,0.130
'0:01.466',0.000,0.080,0.090,0.120
'0:01.468',0.000,0.090,0.110,0.140
'0:01.470',0.000,0.110,0.130,0.180
'0:01.472',-0.010,0.130,0.150,0.210
'0:01.474',-0.020,0.120,0.150,0.200
'0:01.476',-0.020,0.100,0.150,0.190
'0:01.478',0.000,0.100,0.140,0.180
'0:01.480',0.010,0.100,0.130,0.170
'0:01.482',0.020,0.100,0.120,0.170
'0:01.484',0.000,0.120,0.140,0.180
'0:01.486',-0.020,0.150,0.160,0.200
'0:01.488',-0.010,0.150,0.150,0.210
'0:01.490',-0.010,0.130,0.140,0.200
'0:01.492',-0.010,0.120,0.130,0.180
'0:01.494',0.000,0.100,0.110,0.150
'0:01.496',0.000,0.090,0.100,0.140
'0:01.498',0.010,0.110,0.100,0.150
'0:01.500',0.000,0.140,0.100,0.170
'0:01.502',0.000,0.150,0.110,0.170
'0:01.504',0.000,0.150,0.110,0.170
'0:01.506',0.010,0.120,0.090,0.170
'0:01.508',0.010,0.090,0.060,0.160
'0:01.510',0.010,0.070,0.050,0.150
'0:01.512',0.000,0.080,0.040,0.160
'0:01.514',0.000,0.110,0.050,0.180
'0:01.516',0.000,0.110,0.060,0.190
'0:01.518',0.000,0.110,0.070,0.200
'0:01.520',0.010,0.110,0.060,0.210
'0:01.522',0.010,0.100,0.060,0.200
'0:01.524',0.020,0.090,0.060,0.180
'0:01.526',0.010,0.090,0.060,0.180
'0:01.528',0.000,0.090,0.080,0.210
'0:01.530',0.010,0.090,0.080,0.220
'0:01.532',0.030,0.100,0.080,0.200
'0:01.534',0.040,0.110,0.070,0.190
'0:01.536',0.040,0.110,0.070,0.190
'0:01.538',0.030,0.100,0.050,0.190
'0:01.540',0.030,0.080,0.050,0.170
'0:01.542',0.020,0.080,0.050,0.180
'0:01.544',0.030,0.070,0.040,0.170
'0:01.546',0.040,0.060,0.030,0.160
'0:01.548',0.040,0.070,0.030,0.150
'0:01.550',0.020,0.090,0.040,0.150
'0:01.552',0.020,0.090,0.050,0.160
'0:01.554',0.020,0.090,0.050,0.180
'0:01.556',0.010,0.110,0.050,0.200
'0:01.558',0.000,0.100,0.050,0.200
'0:01.560',0.000,0.080,0.040,0.190
'0:01.562',-0.010,0.070,0.040,0.180
'0:01.564',-0.010,0.070,0.030,0.180
'0:01.566',0.000,0.080,0.040,0.170
'0:01.568',0.000,0.090,0.060,0.190
'0:01.570',-0.020,0.110,0.070,0.230
'0:01.572',-0.010,0.110,0.080,0.220
'0:01.574',0.000,0.080,0.060,0.200
'0:01.576',0.000,0.060,0.050,0.180
'0:01.578',0.010,0.060,0.020,0.150
'0:01.580',0.030,0.060,0.010,0.140
'0:01.582',0.020,0.070,0.000,0.150
'0:01.584',0.010,0.100,0.010,0.170
'0:01.586',0.010,0.100,0.020,0.170
'0:01.588',0.010,0.090,0.020,0.160
'0:01.590',0.020,0.060,0.010,0.140
'0:01.592',0.020,0.040,0.000,0.120
'0:01.594',0.030,0.020,-0.010,0.110
'0:01.596',0.030,0.030,-0.010,0.110
'0:01.598',0.030,0.060,0.000,0.110
'0:01.600',0.030,0.090,0.000,0.110
'0:01.602',0.040,0.100,0.000,0.100
'0:01.604',0.040,0.090,0.000,0.100
'0:01.606',0.040,0.060,-0.010,0.090
'0:01.608',0.040,0.040,-0.020,0.080
'0:01.610',0.040,0.030,-0.020,0.090
'0:01.612',0.020,0.040,-0.010,0.110
'0:01.614',0.010,0.040,0.000,0.120
'0:01.616',0.000,0.040,0.000,0.120
'0:01.618',-0.010,0.030,0.000,0.120
'0:01.620',-0.010,0.030,0.000,0.120
'0:01.622',0.000,0.000,-0.010,0.120
'0:01.624',-0.010,0.000,-0.020,0.110
'0:01.626',-0.020,0.010,-0.020,0.110
'0:01.628',-0.020,-0.010,-0.020,0.110
'0:01.630',-0.010,-0.020,-0.020,0.110
'0:01.632',-0.010,-0.020,-0.010,0.110
'0:01.634',-0.020,-0.010,0.000,0.120
'0:01.636',-0.030,0.000,0.000,0.130
'0:01.638',-0.030,0.000,0.000,0.150
'0:01.640',-0.060,0.020,0.010,0.190
'0:01.642',-0.070,0.030,0.020,0.170
'0:01.644',-0.070,0.020,0.000,0.150
'0:01.646',-0.060,0.010,0.000,0.140
'0:01.648',-0.050,0.010,0.010,0.140
'0:01.650',-0.050,0.010,0.030,0.160
'0:01.652',-0.060,0.030,0.050,0.170
'0:01.654',-0.080,0.060,0.070,0.190
'0:01.656',-0.080,0.050,0.090,0.190
'0:01.658',-0.070,0.040,0.080,0.170
'0:01.660',-0.060,0.020,0.060,0.170
'0:01.662',-0.050,0.010,0.050,0.170
'0:01.664',-0.030,0.010,0.050,0.160
'0:01.666',-0.020,0.040,0.050,0.140
'0:01.668',-0.040,0.070,0.060,0.150
'0:01.670',-0.030,0.080,0.060,0.150
'0:01.672',-0.010,0.070,0.050,0.150
'0:01.674',-0.010,0.040,0.050,0.130
'0:01.676',-0.010,0.010,0.050,0.110
'0:01.678',-0.010,0.000,0.030,0.090
'0:01.680',-0.020,0.000,0.010,0.100
'0:01.682',-0.030,0.040,0.030,0.130
'0:01.684',-0.030,0.070,0.040,0.110
'0:01.686',-0.020,0.080,0.030,0.100
'0:01.688',-0.010,0.080,0.000,0.080
'0:01.690',0.000,0.050,-0.020,0.060
'0:01.692',0.000,0.040,-0.030,0.040
'0:01.694',0.010,0.020,-0.030,0.020
'0:01.696',0.020,0.030,-0.020,0.030
'0:01.698',0.020,0.040,-0.010,0.030
'0:01.700',0.020,0.060,0.000,0.020
'0:01.702',0.030,0.070,0.000,0.020
'0:01.704',0.030,0.050,0.010,0.010
'0:01.706',0.030,0.040,0.010,0.000
'0:01.708',0.030,0.040,0.000,0.000
'0:01.710',0.010,0.060,0.000,0.000
'0:01.712',0.010,0.070,0.000,0.010
'0:01.714',0.020,0.070,0.000,0.000
'0:01.716',0.040,0.070,0.000,0.000
'0:01.718',0.050,0.070,0.000,0.000
'0:01.720',0.050,0.070,0.000,0.000
'0:01.722',0.060,0.050,0.000,0.000
'0:01.724',0.050,0.080,0.000,0.000
'0:01.726',0.040,0.080,-0.010,-0.020
'0:01.728',0.040,0.050,-0.040,-0.060
'0:01.730',0.060,0.020,-0.070,-0.110
'0:01.732',0.080,0.020,-0.110,-0.150
'0:01.734',0.100,0.000,-0.170,-0.210
'0:01.736',0.120,-0.020,-0.240,-0.270
'0:01.738',0.130,-0.020,-0.260,-0.280
'0:01.740',0.140,0.000,-0.220,-0.250
'0:01.742',0.150,0.040,-0.080,-0.170
'0:01.744',0.170,0.140,0.140,-0.030
'0:01.746',0.180,0.300,0.470,0.170
'0:01.748',0.240,0.560,0.870,0.390
'0:01.750',0.350,0.920,1.340,0.620
'0:01.752',0.470,1.320,1.850,0.890
'0:01.754',0.600,1.730,2.400,1.160
'0:01.756',0.720,2.140,2.970,1.450
'0:01.758',0.840,2.560,3.540,1.740
'0:01.760',0.960,2.980,4.090,2.040
'0:01.762',1.050,3.390,4.590,2.310
'0:01.764',1.130,3.740,4.980,2.520
'0:01.766',1.150,3.970,5.200,2.650
'0:01.768',1.130,4.040,5.270,2.710
'0:01.770',1.040,3.960,5.150,2.700
'0:01.772',0.890,3.690,4.810,2.590
'0:01.774',0.640,3.170,4.230,2.370
'0:01.776',0.350,2.510,3.520,2.090
'0:01.778',0.110,1.880,2.780,1.780
'0:01.780',-0.050,1.380,2.140,1.470
'0:01.782',-0.130,0.980,1.590,1.160
'0:01.784',-0.170,0.650,1.120,0.870
'0:01.786',-0.190,0.380,0.720,0.610
'0:01.788',-0.200,0.140,0.370,0.390
'0:01.790',-0.210,-0.060,0.070,0.190
'0:01.792',-0.220,-0.220,-0.170,0.000
'0:01.794',-0.220,-0.320,-0.360,-0.120
'0:01.796',-0.210,-0.410,-0.520,-0.240
'0:01.798',-0.190,-0.490,-0.650,-0.350
'0:01.800',-0.180,-0.540,-0.750,-0.440
'0:01.802',-0.160,-0.590,-0.830,-0.520
'0:01.804',-0.160,-0.630,-0.910,-0.580
'0:01.806',-0.150,-0.670,-0.970,-0.640
'0:01.808',-0.160,-0.700,-1.030,-0.650
'0:01.810',-0.160,-0.710,-1.070,-0.670
'0:01.812',-0.130,-0.730,-1.090,-0.710
'0:01.814',-0.100,-0.740,-1.100,-0.740
'0:01.816',-0.090,-0.720,-1.090,-0.770
'0:01.818',-0.070,-0.700,-1.080,-0.800
'0:01.820',-0.060,-0.690,-1.080,-0.820
'0:01.822',-0.070,-0.660,-1.060,-0.810
'0:01.824',-0.070,-0.650,-1.060,-0.820
'0:01.826',-0.060,-0.650,-1.060,-0.850
'0:01.828',-0.040,-0.650,-1.060,-0.870
'0:01.830',-0.020,-0.630,-1.040,-0.880
'0:01.832',-0.020,-0.620,-1.010,-0.880
'0:01.834',-0.010,-0.600,-0.980,-0.870
'0:01.836',-0.030,-0.550,-0.960,-0.860
'0:01.838',-0.030,-0.530,-0.940,-0.860
'0:01.840',-0.030,-0.530,-0.930,-0.870
'0:01.842',-0.020,-0.540,-0.940,-0.890
'0:01.844',-0.010,-0.540,-0.940,-0.900
'0:01.846',0.000,-0.550,-0.940,-0.900
'0:01.848',0.030,-0.540,-0.940,-0.890
'0:01.850',0.020,-0.520,-0.920,-0.870
'0:01.852',0.010,-0.490,-0.900,-0.860
'0:01.854',0.000,-0.480,-0.900,-0.860
'0:01.856',0.010,-0.490,-0.890,-0.880
'0:01.858',0.020,-0.490,-0.890,-0.880
'0:01.860',0.030,-0.500,-0.880,-0.890
'0:01.862',0.030,-0.490,-0.880,-0.890
'0:01.864',0.020,-0.450,-0.850,-0.870
'0:01.866',0.020,-0.410,-0.820,-0.860
'0:01.868',0.030,-0.400,-0.820,-0.860
'0:01.870',0.030,-0.400,-0.820,-0.870
'0:01.872',0.040,-0.400,-0.810,-0.870
'0:01.874',0.040,-0.410,-0.810,-0.860
'0:01.876',0.050,-0.420,-0.800,-0.860
'0:01.878',0.040,-0.410,-0.780,-0.840
'0:01.880',0.050,-0.380,-0.780,-0.830
'0:01.882',0.050,-0.370,-0.770,-0.830
'0:01.884',0.050,-0.360,-0.760,-0.850
'0:01.886',0.060,-0.350,-0.760,-0.860
'0:01.888',0.060,-0.340,-0.750,-0.870
'0:01.890',0.070,-0.350,-0.750,-0.870
'0:01.892',0.060,-0.330,-0.730,-0.850
'0:01.894',0.060,-0.320,-0.730,-0.840
'0:01.896',0.070,-0.320,-0.710,-0.840
'0:01.898',0.080,-0.310,-0.690,-0.840
'0:01.900',0.080,-0.290,-0.670,-0.840
'0:01.902',0.080,-0.270,-0.670,-0.840
'0:01.904',0.090,-0.260,-0.660,-0.840
'0:01.906',0.090,-0.230,-0.660,-0.840
'0:01.908',0.090,-0.220,-0.660,-0.820
'0:01.910',0.100,-0.240,-0.660,-0.830
'0:01.912',0.100,-0.240,-0.660,-0.840
'0:01.914',0.130,-0.240,-0.670,-0.840
'0:01.916',0.140,-0.220,-0.680,-0.860
'0:01.918',0.150,-0.210,-0.690,-0.860
'0:01.920',0.150,-0.180,-0.690,-0.850
'0:01.922',0.160,-0.170,-0.680,-0.840
'0:01.924',0.190,-0.180,-0.680,-0.850
'0:01.926',0.210,-0.190,-0.680,-0.860
'0:01.928',0.230,-0.190,-0.690,-0.870
'0:01.930',0.240,-0.180,-0.680,-0.880
'0:01.932',0.270,-0.150,-0.670,-0.890
'0:01.934',0.280,-0.110,-0.650,-0.880
'0:01.936',0.280,-0.090,-0.650,-0.860
'0:01.938',0.300,-0.100,-0.650,-0.870
'0:01.940',0.320,-0.110,-0.660,-0.870
'0:01.942',0.330,-0.110,-0.650,-0.880
'0:01.944',0.340,-0.110,-0.650,-0.890
'0:01.946',0.360,-0.110,-0.630,-0.890
'0:01.948',0.350,-0.070,-0.590,-0.840
'0:01.950',0.330,-0.020,-0.560,-0.810
'0:01.952',0.320,-0.020,-0.560,-0.810
'0:01.954',0.320,-0.030,-0.560,-0.810
'0:01.956',0.330,-0.050,-0.550,-0.820
'0:01.958',0.330,-0.080,-0.540,-0.830
'0:01.960',0.320,-0.100,-0.560,-0.850
'0:01.962',0.310,-0.080,-0.560,-0.830
'0:01.964',0.300,-0.060,-0.540,-0.800
'0:01.966',0.290,-0.050,-0.540,-0.800
'0:01.968',0.290,-0.060,-0.530,-0.790
'0:01.970',0.280,-0.070,-0.520,-0.770
'0:01.972',0.260,-0.100,-0.500,-0.750
'0:01.974',0.230,-0.120,-0.500,-0.730
'0:01.976',0.200,-0.120,-0.500,-0.700
'0:01.978',0.190,-0.100,-0.490,-0.670
'0:01.980',0.180,-0.110,-0.480,-0.660
'0:01.982',0.160,-0.120,-0.460,-0.630
'0:01.984',0.140,-0.110,-0.440,-0.600
'0:01.986',0.120,-0.110,-0.420,-0.570
'0:01.988',0.100,-0.130,-0.390,-0.530
'0:01.990',0.050,-0.150,-0.340,-0.470
'0:01.992',0.000,-0.140,-0.290,-0.410
'0:01.994',-0.010,-0.150,-0.260,-0.380
'0:01.996',-0.020,-0.170,-0.240,-0.330
'0:01.998',-0.050,-0.180,-0.220,-0.290
'0:02.000',-0.080,-0.180,-0.200,-0.260
'0:02.002',-0.120,-0.180,-0.160,-0.220
'0:02.004',-0.160,-0.160,-0.120,-0.150
'0:02.006',-0.190,-0.150,-0.080,-0.080
'0:02.008',-0.210,-0.160,-0.060,-0.060
'0:02.010',-0.230,-0.180,-0.050,-0.040
'0:02.012',-0.240,-0.190,-0.020,-0.020
'0:02.014',-0.250,-0.200,0.010,0.010
'0:02.016',-0.270,-0.190,0.040,0.040
'0:02.018',-0.300,-0.160,0.050,0.080
'0:02.020',-0.320,-0.140,0.060,0.120
'0:02.022',-0.320,-0.130,0.080,0.150
'0:02.024',-0.330,-0.140,0.090,0.160
'0:02.026',-0.350,-0.150,0.100,0.170
'0:02.028',-0.350,-0.160,0.110,0.170
'0:02.030',-0.360,-0.160,0.110,0.170
'0:02.032',-0.380,-0.150,0.130,0.200
'0:02.034',-0.410,-0.120,0.170,0.250
'0:02.036',-0.420,-0.110,0.190,0.250
'0:02.038',-0.410,-0.130,0.190,0.240
'0:02.040',-0.400,-0.150,0.180,0.230
'0:02.042',-0.390,-0.150,0.170,0.220
'0:02.044',-0.380,-0.160,0.140,0.210
'0:02.046',-0.380,-0.140,0.130,0.220
'0:02.048',-0.390,-0.090,0.150,0.250
'0:02.050',-0.400,-0.070,0.160,0.240
'0:02.052',-0.390,-0.070,0.160,0.230
'0:02.054',-0.370,-0.100,0.140,0.220
'0:02.056',-0.370,-0.140,0.120,0.220
'0:02.058',-0.380,-0.160,0.110,0.200
'0:02.060',-0.390,-0.160,0.110,0.190
'0:02.062',-0.390,-0.150,0.110,0.200
'0:02.064',-0.370,-0.150,0.100,0.190
'0:02.066',-0.370,-0.130,0.080,0.180
'0:02.068',-0.370,-0.110,0.080,0.170
'0:02.070',-0.370,-0.100,0.080,0.170
'0:02.072',-0.370,-0.110,0.070,0.170
'0:02.074',-0.380,-0.100,0.080,0.190
'0:02.076',-0.410,-0.080,0.110,0.210
'0:02.078',-0.400,-0.080,0.120,0.200
'0:02.080',-0.380,-0.100,0.110,0.190
'0:02.082',-0.370,-0.100,0.100,0.180
'0:02.084',-0.360,-0.100,0.100,0.170
'0:02.086',-0.350,-0.100,0.100,0.160
'0:02.088',-0.340,-0.090,0.100,0.160
'0:02.090',-0.340,-0.080,0.110,0.170
'0:02.092',-0.330,-0.100,0.100,0.160
'0:02.094',-0.340,-0.100,0.080,0.140
'0:02.096',-0.320,-0.110,0.070,0.120
'0:02.098',-0.300,-0.100,0.060,0.100
'0:02.100',-0.300,-0.090,0.050,0.090
'0:02.102',-0.310,-0.070,0.060,0.090
'0:02.104',-0.310,-0.040,0.070,0.100
'0:02.106',-0.300,-0.050,0.070,0.090
'0:02.108',-0.280,-0.070,0.050,0.070
'0:02.110',-0.260,-0.090,0.030,0.060
'0:02.112',-0.230,-0.100,0.010,0.070
'0:02.114',-0.220,-0.100,0.000,0.080
'0:02.116',-0.220,-0.070,0.010,0.090
'0:02.118',-0.240,-0.050,0.040,0.120
'0:02.120',-0.240,-0.040,0.050,0.120
'0:02.122',-0.220,-0.060,0.050,0.110
'0:02.124',-0.200,-0.060,0.030,0.080
'0:02.126',-0.210,-0.060,0.010,0.060
'0:02.128',-0.200,-0.060,0.000,0.050
'0:02.130',-0.200,-0.050,0.000,0.070
'0:02.132',-0.210,-0.010,0.010,0.100
'0:02.134',-0.210,0.010,0.010,0.100
'0:02.136',-0.200,0.020,0.010,0.080
'0:02.138',-0.190,0.000,0.000,0.060
'0:02.140',-0.180,0.000,0.000,0.050
'0:02.142',-0.170,-0.020,-0.010,0.020
'0:02.144',-0.160,-0.020,-0.020,0.000
'0:02.146',-0.160,0.000,0.000,0.010
'0:02.148',-0.150,0.000,0.000,0.010
'0:02.150',-0.130,0.010,0.000,0.000
'0:02.152',-0.120,0.010,0.000,0.000
'0:02.154',-0.100,0.010,0.000,0.000
'0:02.156',-0.090,0.000,-0.010,0.000
'0:02.158',-0.090,0.000,-0.010,0.010
'0:02.160',-0.100,0.010,0.000,0.020
'0:02.162',-0.090,0.010,0.000,0.010
'0:02.164',-0.070,0.020,-0.010,0.010
'0:02.166',-0.050,0.030,-0.010,0.010
'0:02.168',-0.050,0.020,-0.010,0.010
'0:02.170',-0.050,0.020,-0.010,0.000
'0:02.172',-0.060,0.010,-0.020,0.000
'0:02.174',-0.070,0.020,-0.020,0.000
'0:02.176',-0.070,0.010,-0.030,0.000
'0:02.178',-0.070,0.000,-0.050,-0.010
'0:02.180',-0.070,0.000,-0.040,-0.020
'0:02.182',-0.070,0.000,-0.030,-0.020
'0:02.184',-0.070,0.000,-0.010,-0.020
'0:02.186',-0.070,0.000,0.000,-0.010
'0:02.188',-0.090,0.020,0.010,0.000
'0:02.190',-0.070,0.010,0.000,0.000
'0:02.192',-0.050,0.000,-0.010,-0.020
'0:02.194',-0.050,-0.010,-0.010,-0.030
'0:02.196',-0.030,-0.020,-0.010,-0.020
'0:02.198',-0.020,-0.020,-0.020,-0.030
'0:02.200',-0.030,0.000,-0.010,-0.020
'0:02.202',-0.040,0.010,0.000,0.000
'0:02.204',-0.040,0.010,0.000,0.010
'0:02.206',-0.040,0.000,-0.020,0.000
'0:02.208',-0.050,-0.020,-0.040,0.000
'0:02.210',-0.050,-0.040,-0.050,-0.020
'0:02.212',-0.050,-0.040,-0.060,-0.020
'0:02.214',-0.040,-0.030,-0.060,-0.010
'0:02.216',-0.050,0.000,-0.040,0.000
'0:02.218',-0.060,0.000,-0.030,-0.010
'0:02.220',-0.060,0.010,-0.040,0.000
'0:02.222',-0.050,0.000,-0.050,-0.010
'0:02.224',-0.050,-0.020,-0.060,-0.010
'0:02.226',-0.060,-0.030,-0.070,-0.020
'0:02.228',-0.080,-0.030,-0.080,-0.010
'0:02.230',-0.090,-0.010,-0.070,0.010
'0:02.232',-0.080,0.000,-0.060,0.010
'0:02.234',-0.070,0.000,-0.060,0.000
'0:02.236',-0.060,0.000,-0.070,-0.010
'0:02.238',-0.050,0.000,-0.070,-0.010
'0:02.240',-0.050,-0.030,-0.070,-0.030
'0:02.242',-0.050,-0.040,-0.080,-0.050
'0:02.244',-0.070,-0.030,-0.080,-0.050
'0:02.246',-0.070,-0.020,-0.080,-0.040
'0:02.248',-0.050,-0.020,-0.090,-0.050
'0:02.250',-0.040,0.000,-0.090,-0.050
'0:02.252',-0.040,0.000,-0.100,-0.050
'0:02.254',-0.040,0.000,-0.100,-0.050
'0:02.256',-0.040,-0.010,-0.110,-0.050
'0:02.258',-0.050,0.000,-0.100,-0.040
'0:02.260',-0.040,-0.010,-0.100,-0.040
'0:02.262',-0.020,-0.020,-0.100,-0.050
'0:02.264',-0.020,-0.020,-0.110,-0.050
'0:02.266',-0.020,-0.010,-0.100,-0.050
'0:02.268',-0.020,0.000,-0.090,-0.050
'0:02.270',-0.020,0.010,-0.080,-0.050
'0:02.272',-0.030,0.020,-0.080,-0.020
'0:02.274',-0.020,0.010,-0.080,-0.030
'0:02.276',-0.010,0.000,-0.080,-0.070
'0:02.278',0.000,-0.020,-0.090,-0.080
'0:02.280',0.000,-0.040,-0.090,-0.080
'0:02.282',0.020,-0.030,-0.100,-0.080
'0:02.284',0.010,-0.010,-0.090,-0.080
'0:02.286',0.000,0.010,-0.080,-0.040
'0:02.288',0.000,0.020,-0.080,-0.020
'0:02.290',0.000,0.010,-0.090,-0.030
'0:02.292',-0.010,0.000,-0.120,-0.050
'0:02.294',-0.020,-0.030,-0.140,-0.070
'0:02.296',-0.020,-0.040,-0.140,-0.070
'0:02.298',-0.030,-0.040,-0.140,-0.070
'0:02.300',-0.050,-0.010,-0.120,-0.050
'0:02.302',-0.050,0.000,-0.110,-0.060
'0:02.304',-0.050,0.000,-0.120,-0.060
'0:02.306',-0.040,-0.030,-0.130,-0.060
'0:02.308',-0.040,-0.050,-0.140,-0.080
'0:02.310',-0.040,-0.060,-0.130,-0.100
'0:02.312',-0.030,-0.080,-0.120,-0.100
'0:02.314',-0.030,-0.070,-0.100,-0.070
'0:02.316',-0.030,-0.050,-0.090,-0.060
'0:02.318',-0.050,-0.040,-0.090,-0.060
'0:02.320',-0.040,-0.040,-0.090,-0.060
'0:02.322',-0.040,-0.050,-0.090,-0.040
'0:02.324',-0.040,-0.070,-0.100,-0.030
'0:02.326',-0.050,-0.080,-0.110,-0.030
'0:02.328',-0.060,-0.050,-0.100,0.000
'0:02.330',-0.040,-0.040,-0.090,0.000
'0:02.332',-0.040,-0.030,-0.080,0.000
'0:02.334',-0.040,-0.020,-0.080,0.000
'0:02.336',-0.060,-0.030,-0.070,0.000
'0:02.338',-0.070,-0.050,-0.070,0.000
'0:02.340',-0.070,-0.060,-0.060,0.000
'0:02.342',-0.080,-0.050,-0.050,0.000
'0:02.344',-0.080,-0.040,-0.040,0.000
'0:02.346',-0.070,-0.050,-0.030,0.000
'0:02.348',-0.070,-0.050,-0.020,-0.010
'0:02.350',-0.070,-0.030,-0.010,-0.020
'0:02.352',-0.070,-0.020,-0.010,-0.020
'0:02.354',-0.070,-0.010,0.000,-0.020
'0:02.356',-0.080,0.000,0.000,-0.010
'0:02.358',-0.080,0.010,-0.020,-0.030
'0:02.360',-0.080,0.000,-0.040,-0.030
'0:02.362',-0.070,-0.010,-0.060,-0.020
'0:02.364',-0.070,-0.010,-0.060,-0.020
'0:02.366',-0.080,0.000,-0.050,-0.030
'0:02.368',-0.080,0.000,-0.060,-0.020
'0:02.370',-0.090,0.020,-0.070,-0.010
'0:02.372',-0.070,0.020,-0.070,-0.020
'0:02.374',-0.060,0.000,-0.080,-0.040
'0:02.376',-0.070,-0.020,-0.080,-0.060
'0:02.378',-0.070,-0.030,-0.090,-0.070
'0:02.380',-0.070,-0.040,-0.090,-0.060
'0:02.382',-0.050,-0.030,-0.070,-0.050
'0:02.384',-0.060,0.000,-0.030,-0.010
'0:02.386',-0.070,0.030,-0.030,-0.010
'0:02.388',-0.040,0.020,-0.040,-0.030
'0:02.390',-0.020,0.000,-0.050,-0.050
'0:02.392',-0.020,0.000,-0.050,-0.070
'0:02.394',-0.010,-0.010,-0.050,-0.080
'0:02.396',0.000,-0.010,-0.040,-0.070
'0:02.398',-0.010,0.020,-0.030,-0.050
'0:02.400',-0.020,0.050,-0.020,-0.060
'0:02.402',-0.010,0.060,-0.020,-0.070
'0:02.404',0.000,0.060,-0.020,-0.070
'0:02.406',0.020,0.040,-0.020,-0.080
'0:02.408',0.030,0.020,-0.030,-0.090
'0:02.410',0.030,0.020,-0.030,-0.090
'0:02.412',0.020,0.030,-0.040,-0.080
'0:02.414',0.020,0.040,-0.060,-0.090
'0:02.416',0.030,0.040,-0.070,-0.120
'0:02.418',0.040,0.040,-0.090,-0.140
'0:02.420',0.040,0.020,-0.120,-0.180
'0:02.422',0.060,0.000,-0.190,-0.250
'0:02.424',0.080,-0.030,-0.260,-0.320
'0:02.426',0.090,-0.050,-0.310,-0.360
'0:02.428',0.110,-0.050,-0.330,-0.390
'0:02.430',0.140,-0.040,-0.310,-0.380
'0:02.432',0.170,0.010,-0.180,-0.310
'0:02.434',0.170,0.130,0.040,-0.160
'0:02.436',0.160,0.280,0.350,0.040
'0:02.438',0.200,0.520,0.730,0.260
'0:02.440',0.280,0.840,1.170,0.510
'0:02.442',0.410,1.210,1.660,0.760
'0:02.444',0.550,1.610,2.190,1.030
'0:02.446',0.670,2.030,2.760,1.330
'0:02.448',0.800,2.490,3.340,1.640
'0:02.450',0.910,2.950,3.910,1.950
'0:02.452',1.000,3.360,4.440,2.240
'0:02.454',1.050,3.690,4.830,2.470
'0:02.456',1.070,3.890,5.050,2.610
'0:02.458',1.070,3.940,5.090,2.650
'0:02.460',1.000,3.840,4.970,2.620
'0:02.462',0.840,3.520,4.600,2.480
'0:02.464',0.550,2.970,4.020,2.280
'0:02.466',0.230,2.330,3.320,2.020
'0:02.468',-0.010,1.750,2.630,1.750
'0:02.470',-0.160,1.280,2.010,1.450
'0:02.472',-0.230,0.880,1.470,1.150
'0:02.474',-0.270,0.540,1.010,0.850
'0:02.476',-0.290,0.270,0.610,0.580
'0:02.478',-0.290,0.050,0.280,0.350
'0:02.480',-0.280,-0.110,0.010,0.150
'0:02.482',-0.280,-0.230,-0.210,0.000
'0:02.484',-0.270,-0.320,-0.400,-0.140
'0:02.486',-0.240,-0.430,-0.560,-0.260
'0:02.488',-0.210,-0.530,-0.700,-0.370
'0:02.490',-0.180,-0.620,-0.820,-0.460
'0:02.492',-0.150,-0.690,-0.910,-0.560
'0:02.494',-0.130,-0.730,-0.990,-0.630
'0:02.496',-0.120,-0.720,-1.010,-0.660
'0:02.498',-0.120,-0.710,-1.030,-0.680
'0:02.500',-0.100,-0.710,-1.050,-0.720
'0:02.502',-0.080,-0.710,-1.070,-0.740
'0:02.504',-0.050,-0.710,-1.090,-0.750
'0:02.506',-0.020,-0.730,-1.110,-0.780
'0:02.508',-0.010,-0.740,-1.100,-0.800
'0:02.510',-0.010,-0.720,-1.100,-0.800
'0:02.512',0.000,-0.720,-1.090,-0.790
'0:02.514',0.010,-0.710,-1.080,-0.790
'0:02.516',0.020,-0.690,-1.060,-0.790
'0:02.518',0.020,-0.680,-1.040,-0.800
'0:02.520',0.020,-0.680,-1.020,-0.800
'0:02.522',0.020,-0.710,-1.010,-0.800
'0:02.524',0.000,-0.700,-0.990,-0.780
'0:02.526',-0.020,-0.680,-0.980,-0.780
'0:02.528',-0.010,-0.680,-0.960,-0.790
'0:02.530',0.000,-0.680,-0.960,-0.790
'0:02.532',0.000,-0.670,-0.940,-0.770
'0:02.534',0.000,-0.650,-0.920,-0.760
'0:02.536',0.000,-0.630,-0.900,-0.750
'0:02.538',-0.010,-0.580,-0.860,-0.730
'0:02.540',-0.030,-0.550,-0.840,-0.710
'0:02.542',-0.030,-0.560,-0.820,-0.740
'0:02.544',-0.010,-0.560,-0.820,-0.760
'0:02.546',0.000,-0.560,-0.820,-0.760
'0:02.548',0.000,-0.550,-0.820,-0.750
'0:02.550',0.000,-0.520,-0.810,-0.740
'0:02.552',0.000,-0.490,-0.780,-0.700
'0:02.554',-0.010,-0.470,-0.760,-0.680
'0:02.556',0.000,-0.480,-0.770,-0.670
'0:02.558',0.000,-0.500,-0.780,-0.670
'0:02.560',0.000,-0.500,-0.780,-0.690
'0:02.562',0.010,-0.500,-0.770,-0.700
'0:02.564',0.010,-0.480,-0.750,-0.690
'0:02.566',0.000,-0.440,-0.740,-0.670
