'Elapsed time','ECG 1','ECG 2','ECG 3','ECG 4'
'hh:mm:ss.mmm','mV','mV','mV','mV'
'0:02.952',-0.040,0.010,0.020,0.180
'0:02.954',-0.060,0.000,0.020,0.170
'0:02.956',-0.070,0.000,0.010,0.150
'0:02.958',-0.080,0.000,0.000,0.140
'0:02.960',-0.090,0.010,0.030,0.160
'0:02.962',-0.090,0.010,0.040,0.160
'0:02.964',-0.060,0.010,0.030,0.150
'0:02.966',-0.050,0.020,0.030,0.140
'0:02.968',-0.050,0.020,0.030,0.120
'0:02.970',-0.040,0.030,0.030,0.110
'0:02.972',-0.040,0.020,0.040,0.100
'0:02.974',-0.050,0.010,0.050,0.100
'0:02.976',-0.040,0.000,0.040,0.080
'0:02.978',-0.030,-0.010,0.020,0.060
'0:02.980',-0.030,-0.020,0.010,0.060
'0:02.982',-0.020,-0.010,0.010,0.050
'0:02.984',-0.010,0.000,0.010,0.060
'0:02.986',-0.010,0.000,0.010,0.070
'0:02.988',-0.030,0.030,0.010,0.090
'0:02.990',-0.030,0.020,0.000,0.090
'0:02.992',-0.030,0.000,0.000,0.060
'0:02.994',-0.030,-0.020,-0.010,0.040
'0:02.996',-0.010,-0.040,-0.020,0.040
'0:02.998',0.000,-0.050,-0.020,0.040
'0:03.000',-0.010,-0.030,-0.020,0.060
'0:03.002',-0.040,0.010,0.010,0.090
'0:03.004',-0.050,0.020,0.020,0.100
'0:03.006',-0.040,0.000,0.010,0.080
'0:03.008',-0.040,-0.020,-0.010,0.070
'0:03.010',-0.040,-0.040,-0.030,0.050
'0:03.012',-0.040,-0.060,-0.040,0.040
'0:03.014',-0.030,-0.050,-0.040,0.030
'0:03.016',-0.050,0.000,-0.020,0.040
'0:03.018',-0.060,0.010,-0.010,0.040
'0:03.020',-0.060,0.000,0.000,0.040
'0:03.022',-0.050,-0.020,0.000,0.020
'0:03.024',-0.040,-0.040,-0.020,0.000
'0:03.026',-0.040,-0.050,-0.020,0.000
'0:03.028',-0.050,-0.050,-0.030,0.000
'0:03.030',-0.060,-0.030,-0.030,0.030
'0:03.032',-0.060,-0.020,-0.010,0.050
'0:03.034',-0.060,-0.020,0.000,0.050
'0:03.036',-0.060,-0.020,0.000,0.050
'0:03.038',-0.060,-0.030,0.000,0.040
'0:03.040',-0.060,-0.050,0.000,0.020
'0:03.042',-0.070,-0.060,0.000,0.020
'0:03.044',-0.070,-0.050,0.010,0.040
'0:03.046',-0.050,-0.040,0.020,0.050
'0:03.048',-0.040,-0.020,0.030,0.040
'0:03.050',-0.050,-0.020,0.030,0.030
'0:03.052',-0.050,-0.020,0.040,0.030
'0:03.054',-0.060,-0.010,0.040,0.020
'0:03.056',-0.060,-0.010,0.040,0.020
'0:03.058',-0.070,0.000,0.030,0.020
'0:03.060',-0.050,0.000,0.030,0.010
'0:03.062',-0.050,-0.010,0.020,0.010
'0:03.064',-0.040,-0.020,0.020,0.000
'0:03.066',-0.030,-0.010,0.020,0.000
'0:03.068',-0.040,0.000,0.030,0.000
'0:03.070',-0.040,0.000,0.030,0.000
'0:03.072',-0.050,0.000,0.030,0.000
'0:03.074',-0.050,0.000,0.040,0.000
'0:03.076',-0.050,-0.020,0.030,0.000
'0:03.078',-0.040,-0.050,0.010,-0.020
'0:03.080',-0.030,-0.070,0.000,-0.030
'0:03.082',-0.020,-0.070,0.000,-0.040
'0:03.084',-0.020,-0.050,0.000,-0.050
'0:03.086',-0.030,-0.010,0.010,-0.010
'0:03.088',-0.030,0.000,0.030,0.000
'0:03.090',-0.010,-0.010,0.030,-0.040
'0:03.092',0.000,-0.030,0.020,-0.070
'0:03.094',0.020,-0.050,0.000,-0.100
'0:03.096',0.030,-0.050,-0.010,-0.110
'0:03.098',0.040,-0.030,-0.020,-0.110
'0:03.100',0.030,0.000,-0.020,-0.080
'0:03.102',0.030,0.010,-0.010,-0.080
'0:03.104',0.030,0.020,-0.020,-0.090
'0:03.106',0.030,0.020,-0.020,-0.110
'0:03.108',0.020,0.000,-0.030,-0.110
'0:03.110',0.010,-0.010,-0.040,-0.130
'0:03.112',0.020,-0.010,-0.040,-0.130
'0:03.114',0.020,0.000,-0.020,-0.110
'0:03.116',0.010,0.020,-0.010,-0.100
'0:03.118',0.010,0.020,-0.010,-0.100
'0:03.120',0.010,0.010,-0.020,-0.100
'0:03.122',0.010,-0.010,-0.030,-0.110
'0:03.124',0.000,-0.030,-0.060,-0.140
'0:03.126',0.000,-0.050,-0.100,-0.170
'0:03.128',0.020,-0.040,-0.130,-0.200
'0:03.130',0.050,-0.040,-0.180,-0.270
'0:03.132',0.090,-0.060,-0.260,-0.340
'0:03.134',0.100,-0.070,-0.310,-0.380
'0:03.136',0.110,-0.060,-0.300,-0.370
'0:03.138',0.120,-0.040,-0.220,-0.310
'0:03.140',0.110,0.010,-0.050,-0.180
'0:03.142',0.070,0.140,0.190,0.010
'0:03.144',0.090,0.340,0.520,0.210
'0:03.146',0.180,0.620,0.940,0.430
'0:03.148',0.290,0.970,1.420,0.690
'0:03.150',0.400,1.360,1.950,0.960
'0:03.152',0.490,1.760,2.500,1.280
'0:03.154',0.570,2.150,3.050,1.620
'0:03.156',0.640,2.560,3.600,1.950
'0:03.158',0.700,2.920,4.080,2.230
'0:03.160',0.760,3.200,4.430,2.420
'0:03.162',0.810,3.370,4.600,2.520
'0:03.164',0.810,3.430,4.620,2.540
'0:03.166',0.770,3.340,4.460,2.460
'0:03.168',0.630,3.040,4.070,2.300
'0:03.170',0.380,2.540,3.510,2.090
'0:03.172',0.120,1.970,2.870,1.830
'0:03.174',-0.070,1.430,2.260,1.540
'0:03.176',-0.180,0.990,1.730,1.250
'0:03.178',-0.230,0.640,1.270,0.970
'0:03.180',-0.260,0.380,0.880,0.730
'0:03.182',-0.260,0.170,0.550,0.510
'0:03.184',-0.280,0.030,0.280,0.340
'0:03.186',-0.280,-0.080,0.040,0.180
'0:03.188',-0.240,-0.200,-0.150,0.020
'0:03.190',-0.200,-0.310,-0.340,-0.120
'0:03.192',-0.170,-0.410,-0.500,-0.250
'0:03.194',-0.150,-0.470,-0.640,-0.360
'0:03.196',-0.130,-0.520,-0.740,-0.420
'0:03.198',-0.120,-0.530,-0.820,-0.460
'0:03.200',-0.120,-0.540,-0.880,-0.510
'0:03.202',-0.110,-0.560,-0.920,-0.550
'0:03.204',-0.090,-0.570,-0.960,-0.590
'0:03.206',-0.070,-0.600,-0.980,-0.620
'0:03.208',-0.050,-0.630,-1.010,-0.650
'0:03.210',-0.030,-0.650,-1.030,-0.670
'0:03.212',-0.030,-0.630,-1.030,-0.660
'0:03.214',-0.040,-0.610,-1.010,-0.650
'0:03.216',-0.030,-0.610,-1.000,-0.660
'0:03.218',-0.010,-0.600,-0.980,-0.670
'0:03.220',-0.010,-0.600,-0.970,-0.680
'0:03.222',-0.010,-0.620,-0.950,-0.700
'0:03.224',-0.010,-0.630,-0.940,-0.720
'0:03.226',-0.030,-0.610,-0.890,-0.700
'0:03.228',-0.050,-0.590,-0.870,-0.680
'0:03.230',-0.040,-0.590,-0.860,-0.690
'0:03.232',-0.020,-0.570,-0.850,-0.710
'0:03.234',-0.010,-0.560,-0.840,-0.730
'0:03.236',-0.010,-0.550,-0.830,-0.730
'0:03.238',-0.010,-0.540,-0.820,-0.730
'0:03.240',-0.020,-0.520,-0.810,-0.730
'0:03.242',-0.030,-0.510,-0.810,-0.730
'0:03.244',-0.020,-0.510,-0.810,-0.750
'0:03.246',0.000,-0.510,-0.810,-0.750
'0:03.248',0.010,-0.490,-0.790,-0.760
'0:03.250',0.030,-0.480,-0.780,-0.760
'0:03.252',0.030,-0.460,-0.770,-0.760
'0:03.254',0.010,-0.440,-0.760,-0.740
'0:03.256',0.000,-0.430,-0.740,-0.740
'0:03.258',0.000,-0.440,-0.750,-0.750
'0:03.260',0.000,-0.450,-0.750,-0.760
'0:03.262',0.000,-0.450,-0.750,-0.770
'0:03.264',0.010,-0.450,-0.730,-0.760
'0:03.266',0.020,-0.430,-0.720,-0.760
'0:03.268',0.000,-0.390,-0.680,-0.730
'0:03.270',-0.010,-0.350,-0.660,-0.710
'0:03.272',0.000,-0.340,-0.650,-0.710
'0:03.274',0.020,-0.350,-0.660,-0.730
'0:03.276',0.020,-0.360,-0.660,-0.750
'0:03.278',0.020,-0.370,-0.660,-0.770
'0:03.280',0.020,-0.360,-0.660,-0.770
'0:03.282',0.020,-0.310,-0.650,-0.750
'0:03.284',0.010,-0.270,-0.640,-0.750
'0:03.286',0.020,-0.260,-0.630,-0.750
'0:03.288',0.030,-0.260,-0.630,-0.740
'0:03.290',0.040,-0.280,-0.620,-0.740
'0:03.292',0.030,-0.310,-0.630,-0.760
'0:03.294',0.030,-0.320,-0.630,-0.770
'0:03.296',0.020,-0.290,-0.600,-0.740
'0:03.298',0.020,-0.250,-0.580,-0.720
'0:03.300',0.030,-0.230,-0.570,-0.720
'0:03.302',0.040,-0.240,-0.570,-0.720
'0:03.304',0.060,-0.240,-0.560,-0.720
'0:03.306',0.070,-0.250,-0.550,-0.730
'0:03.308',0.070,-0.260,-0.560,-0.730
'0:03.310',0.050,-0.240,-0.550,-0.700
'0:03.312',0.050,-0.220,-0.530,-0.690
'0:03.314',0.060,-0.210,-0.520,-0.700
'0:03.316',0.070,-0.210,-0.520,-0.710
'0:03.318',0.070,-0.210,-0.510,-0.700
'0:03.320',0.070,-0.210,-0.510,-0.700
'0:03.322',0.090,-0.200,-0.530,-0.690
'0:03.324',0.090,-0.180,-0.540,-0.710
'0:03.326',0.100,-0.170,-0.550,-0.730
'0:03.328',0.110,-0.180,-0.560,-0.750
